i_title,i_id,plot,images
Captain America: The Winter Soldier,tt1843866,"For Steve Rogers, awakening after decades of suspended animation involves more than catching up on pop culture; it also means that this old school idealist must face a world of subtler threats and difficult moral complexities. That becomes clear when Director Nick Fury is killed by the mysterious assassin, the Winter Soldier, but not before warning Rogers that SHIELD has been subverted by its enemies. When Rogers acts on Fury's warning to trust no one there, he is branded as a traitor by the organization. Now a fugitive, Captain America must get to the bottom of this deadly mystery with the help of the Black Widow and his new friend, The Falcon. However, the battle will be costly for the Sentinel of Liberty, with Rogers finding enemies where he least expects them while learning that the Winter Soldier looks disturbingly familiar.","['https://imdb-api.com/images/original/MV5BYjQ5MGI2NTktNjA3NC00MzE2LTgxMmItOGNiNWZhMTNjMjQ0XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_Ratio2.3800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNWI3YzY4OWYtNzM1Ny00MWYwLWJkNDgtZjNhMDBlMTM5MzE4XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_Ratio2.4000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMGFhOTk5YWUtYTBiNC00ZmUwLTg0ODMtMjA5NGUwYmQxZWMyXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_Ratio2.3800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BYTU3YmNjMzctMzcyNi00OTI1LTk3NjUtNWExNzBjNzczNDk0XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_Ratio2.4000_AL_.jpg']"
Captain America: Civil War,tt3498820,"With many people fearing the actions of super heroes, the government decides to push for the Hero Registration Act, a law that limits a hero's actions. This results in a division in The Avengers. Iron Man stands with this Act, claiming that their actions must be kept in check otherwise cities will continue to be destroyed, but Captain America feels that saving the world is daring enough and that they cannot rely on the government to protect the world. This escalates into an all-out war between Team Iron Man (Iron Man, Black Panther, Vision, Black Widow, War Machine, and Spider-Man) and Team Captain America (Captain America, Bucky Barnes, Falcon, Scarlet Witch, Hawkeye, and Ant Man) while a new villain emerges.","['https://imdb-api.com/images/original/MV5BMTU4MjczNDk3MF5BMl5BanBnXkFtZTgwODI5MDY2NjM@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjA0MjcxNDM0N15BMl5BanBnXkFtZTgwMTg4NDg3NDM@._V1_Ratio1.9000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BOWU1YjVjOTktMDg0Yi00MGQ5LTg5ZTAtYTgwZTJlOWE5ZTc3XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNzg0NjE0NjQzOF5BMl5BanBnXkFtZTgwMjk1OTI3ODE@._V1_Ratio1.5000_AL_.jpg']"
Spider-Man: Homecoming,tt2250912,"A young Peter Parker/Spider-Man begins to navigate his newfound identity as the web-slinging super hero Spider-Man. Thrilled by his experience with the Avengers, Peter returns home, where he lives with his Aunt May, under the watchful eye of his new mentor Tony Stark. Peter tries to fall back into his normal daily routine - distracted by thoughts of proving himself to be more than just your friendly neighborhood Spider-Man - but when the Vulture emerges as a new villain, everything that Peter holds most important will be threatened.","['https://imdb-api.com/images/original/MV5BMTUwMjQwOTQzMl5BMl5BanBnXkFtZTgwOTcyMzM4MjI@._V1_Ratio2.4000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjkwMDEyNjk1MV5BMl5BanBnXkFtZTgwNzUyMzM4MjI@._V1_Ratio2.4000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNzMxMTk3NTQ1Ml5BMl5BanBnXkFtZTgwOTUyMzM4MjI@._V1_Ratio2.4000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjE5NDE3Mzg1M15BMl5BanBnXkFtZTgwMDYyMzM4MjI@._V1_Ratio2.4000_AL_.jpg']"
Logan,tt3315342,"In 2029 the mutant population has shrunken significantly due to genetically modified plants designed to reduce mutant powers and the X-Men have disbanded. Logan, whose power to self-heal is dwindling, has surrendered himself to alcohol and now earns a living as a chauffeur. He takes care of the ailing old Professor X whom he keeps hidden away. One day, a female stranger asks Logan to drive a girl named Laura to the Canadian border. At first he refuses, but the Professor has been waiting for a long time for her to appear. Laura possesses an extraordinary fighting prowess and is in many ways like Wolverine. She is pursued by sinister figures working for a powerful corporation; this is because they made her, with Logan's DNA. A decrepit Logan is forced to ask himself if he can or even wants to put his remaining powers to good use. It would appear that in the near-future, the times in which they were able put the world to rights with razor sharp claws and telepathic powers are now over.","['https://imdb-api.com/images/original/MV5BNDI3MzgwMmYtY2JjYy00ZWQ2LTgzNjUtNjAyZDc3MDFhOTg0XkEyXkFqcGdeQXVyNDg2MjUxNjM@._V1_Ratio1.3800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjZmMmVhNTctYTlhYy00YWJmLTk4NzktYmFkMjg4NzljMDlkXkEyXkFqcGdeQXVyNDg2MjUxNjM@._V1_Ratio1.4800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMzQxMDA3MDYtYTkyNi00Yjg3LWFmYTMtOTFlOGQ4Mzc4NzU3XkEyXkFqcGdeQXVyNDg2MjUxNjM@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BOTVhN2JhMmUtYWVkOS00YTMzLTgzNWQtMzAxNWMxM2NiODllXkEyXkFqcGdeQXVyNDg2MjUxNjM@._V1_Ratio1.5000_AL_.jpg']"
Avengers: Age of Ultron,tt2395427,"Tony Stark creates the Ultron Program to protect the world, but when the peacekeeping program becomes hostile, The Avengers go into action to try and defeat a virtually impossible enemy together. Earth's mightiest heroes must come together once again to protect the world from global extinction.","['https://imdb-api.com/images/original/MV5BODM3MzIyMzA1Nl5BMl5BanBnXkFtZTgwMzc5NzcxNzM@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BODEyNDYyNjU4OF5BMl5BanBnXkFtZTgwODI0OTA4NDM@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNzcwNTQ5OTE0NV5BMl5BanBnXkFtZTgwMzI2MDE1NTE@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMzU2MTA0NzAzNV5BMl5BanBnXkFtZTgwNDI2MDE1NTE@._V1_Ratio1.5000_AL_.jpg']"
X-Men: Apocalypse,tt3385516,"Since the dawn of civilization, he was worshiped as a god. Apocalypse, the first and most powerful mutant from Marvel's X-Men universe, amassed the powers of many other mutants, becoming immortal and invincible. Upon awakening after thousands of years, he is disillusioned with the world as he finds it and recruits a team of powerful mutants, including a disheartened Magneto, to cleanse mankind and create a new world order, over which he will reign. As the fate of the Earth hangs in the balance, Raven with the help of Professor X must lead a team of young X-Men to stop their greatest nemesis and save mankind from complete destruction.","['https://imdb-api.com/images/original/MV5BMjIxMDk1NDA0OF5BMl5BanBnXkFtZTgwNzIyMjYzODE@._V1_Ratio2.3600_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjIzMjY5NTIwNV5BMl5BanBnXkFtZTgwODIyMjYzODE@._V1_Ratio2.3600_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNDcyOTU1ODQ2MF5BMl5BanBnXkFtZTgwOTIyMjYzODE@._V1_Ratio2.3600_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTU4MTQ4NjMyM15BMl5BanBnXkFtZTgwNjIyMjYzODE@._V1_Ratio2.3600_AL_.jpg']"
Doctor Strange,tt1211837,"Marvel's ""Doctor Strange"" follows the story of the talented neurosurgeon Doctor Stephen Strange who, after a tragic car accident, must put ego aside and learn the secrets of a hidden world of mysticism and alternate dimensions. Based in New York City's Greenwich Village, Doctor Strange must act as an intermediary between the real world and what lies beyond, utilising a vast array of metaphysical abilities and artifacts to protect the Marvel Cinematic Universe.","['https://imdb-api.com/images/original/MV5BMjI1NjU4Mzk2NF5BMl5BanBnXkFtZTgwMTQ5MDAzMDI@._V1_Ratio1.9000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjI5NTI0OTY1Nl5BMl5BanBnXkFtZTgwMjQ5MDAzMDI@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjA3NjMwMjg1M15BMl5BanBnXkFtZTgwMzQ5MDAzMDI@._V1_Ratio1.9000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTc4OTcxNDM2NF5BMl5BanBnXkFtZTgwNDQ5MDAzMDI@._V1_Ratio1.9000_AL_.jpg']"
Wonder Woman,tt0451279,"Diana, princess of the Amazons, trained to be an unconquerable warrior. Raised on a sheltered island paradise, when a pilot crashes on their shores and tells of a massive conflict raging in the outside world, Diana leaves her home, convinced she can stop the threat. Fighting alongside man in a war to end all wars, Diana will discover her full powers and her true destiny.","['https://imdb-api.com/images/original/MV5BMjIyMzkzNTE0N15BMl5BanBnXkFtZTgwMjYzOTA4NDM@._V1_Ratio1.7800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTYwMTU1MDk5NF5BMl5BanBnXkFtZTgwNDUyOTYzMjI@._V1_Ratio1.7800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNjA4MjQyMjcxOV5BMl5BanBnXkFtZTgwODUyOTYzMjI@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTc1ODUwMTYyM15BMl5BanBnXkFtZTgwNjYyOTYzMjI@._V1_Ratio1.5000_AL_.jpg']"
Superman: Unbound,tt2617456,"Offering herself as a hostage, Lois Lane is caught in an aerial confrontation between her terrorist captors and the unpredictable Supergirl before Superman arrives to save the day. Soon after, knowing Superman's civilian identity, Lois attempts to get Clark Kent to make their relationship public despite his fear of the consequences, but their argument is halted by a Daily Planet staff meeting before Kent leaves when they are being alerted to a meteor. Intercepting it, Superman learns the meteor to be a robot and that he promptly defeats before activating its beacon and taking it to the Fortress of Solitude. With help from a fear-filled Supergirl, Superman learns the robot is actually a drone controlled by a being named Brainiac, a cyborg who was originally a Coluan scientist who subjected himself to extensive cybernetic and genetic enhancements. As Supergirl reveals from her experience with the monster, Brainiac seized and miniaturized Krypton's capital city of Kandor prior to the ...","['https://imdb-api.com/images/original/MV5BYmE3MmFiMTMtZDljYS00MjkxLWJjZGMtOGY0MDQxZTk5M2QxXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_Ratio1.7800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BYWYxZGQ2OTMtNjQ0Yi00ZDc4LTg4YmEtZTFhODY1NzIxMjcwXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_Ratio1.7800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BOGEyODQ3NGQtNjI1ZS00YWZmLWE2MzctOTYzMDA3ZmUyYTQwXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_Ratio1.7800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNWVjZjZjYTctYmEzMS00ZTQxLWFkMzctZTU2ZGEzZTU0NDM5XkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_Ratio1.7800_AL_.jpg']"
Superman III,tt0086393,"In mortal enemies, the Man of Steel has no match. Even faced with a trio of sinister super-powered villains from his home planet, Superman saved the day. But can super-strength stand up to the diabolical circuitry of a criminally insane computer? Enter Gus Gorman, a genial half-wit who just happens to be a natural-born genius at computer programming. In his hands, a computer keyboard turns into a deadly weapon, and soon, Superman faces the microelectronic menace of his career. Clark Kent meets his old flame Lana Lang at a Smallville High School reunion and Superman turns into his own worst enemy after exposure to a chunk of red kryptonite.","['https://imdb-api.com/images/original/MV5BYTYwMjM3NzUtN2UzMi00ZDgyLWFhNzQtNWFiYWZkODI5ZWMzXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_Ratio1.5200_AL_.jpg', 'https://imdb-api.com/images/original/MV5BOWRmZmYzNmMtOWQxMC00MjM5LThjMGUtMTUxMmQ2ZTI0ZWI2XkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BYmJiNGRlMDMtOWYzMC00Y2U1LWI0YTQtNGI1OTlmNjM3MTEwXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMDZmMTUzNzgtYjI0MC00MDI5LWE3MjYtNjcxMTY2MmQ0NTBmXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_Ratio1.5200_AL_.jpg']"
